RANKING,titulo,ANIO,puntaje,genero,Cantidad de votos,direccion,duracion,GANANCIAS EN DOLARES
3935,Yeh Jawaani Hai Deewani,2013,7,"Comedia, Drama, Musical",32329,Ayan Mukherjee,176,3830000
3936,Uptown Girls,2003,6.1,"Comedia, Drama, Romántica",32316,Boaz Yakin,92,36920000
3937,Le charme discret de la bourgeoisie,1972,8,Comedia,32303,Luis Buñuel,102,200000
3938,Birth,2004,6.1,"Drama, Misterio, Romántica",32296,Jonathan Glazer,100,5010000
3939,V/H/S/2,2013,6.1,"Horror, Suspenso",32290,Simon Barrett,96,20000
3940,The Fog,2005,3.6,Horror,32287,Rupert Wainwright,100,29510000
3941,Mickey Blue Eyes,1999,5.8,"Comedia, Crimen, Romántica",32284,Kelly Makin,102,33860000
3942,Krym,2017,7.3,"Acción, Drama",32279,Aleksey Pimanov,99,NA
3943,Cake,2014,6.4,Drama,32269,Daniel Barnz,102,1870000
3944,BloodRayne,2005,2.9,"Acción, Aventura, Fantasía",32244,Uwe Boll,95,2410000
3945,The Roommate,2011,4.9,"Drama, Suspenso",32211,Christian E. Christiansen,91,37300000
3946,Er ist wieder da,2015,7.1,"Comedia, Fantasía",32209,David Wnendt,116,NA
3947,The Cave,2005,5.1,"Acción, Aventura, Horror",32209,Bruce Hunt,97,15010000
3948,Jules and Jim,1962,7.9,"Drama, Romántica",32198,François Truffaut,105,NA
3949,Nowhere Boy,2009,7.1,"Biografía, Drama, Música",32154,Sam Taylor-Johnson,98,1450000
3950,Bachelor Party,1984,6.3,Comedia,32150,Neal Israel,105,38440000
3951,Love,2015,6,"Drama, Romántica",32120,Gaspar Noé,135,NA
3952,The Last Legion,2007,5.4,"Acción, Aventura, Guerra",32082,Doug Lefler,101,5930000
3953,Brewster's Millions,1985,6.5,Comedia,32040,Walter Hill,102,38800000
3954,War Machine,2017,6,"Comedia, Drama, Guerra",32035,David Michôd,122,NA
3955,D2: The Mighty Ducks,1994,6,"Comedia, Drama, Familiar",32032,Sam Weisman,106,45610000
3956,Cyrus,2010,6.3,"Comedia, Drama, Romántica",32032,Jay Duplass,91,7460000
3957,High-Rise,2015,5.6,Drama,32016,Ben Wheatley,119,340000
3958,Qu'est-ce qu'on a fait au Bon Dieu?,2014,7,Comedia,32006,Philippe de Chauveron,97,NA
3959,Fist Fight,2017,5.6,Comedia,32000,Richie Keen,91,32189999.999999996
3960,Rings,2017,4.5,"Drama, Horror, Romántica",31991,F. Javier Gutiérrez,102,27780000
3961,Mientras duermes,2011,7.2,"Drama, Horror, Suspenso",31991,Jaume Balagueró,102,NA
3962,The Lizzie McGuire Movie,2003,5.5,"Aventura, Comedia, Familiar",31954,Jim Fall,94,42670000
3963,Love and Death,1975,7.8,"Comedia, Guerra",31953,Woody Allen,85,NA
3964,The Butterfly Effect 2,2006,4.5,"Horror, Ciencia Ficción, Suspenso",31942,John R. Leonetti,92,NA
3965,Man of Tai Chi,2013,6.1,"Acción, Drama",31940,Keanu Reeves,105,100000
3966,Confidence: After Dark,2003,6.7,"Crimen, Suspenso",31929,James Foley,97,12210000
3967,Hit and Run,2012,6.1,"Acción, Comedia, Romántica",31920,David Palmer,100,13750000
3968,The Messenger,2009,7.1,"Drama, Romántica, Guerra",31919,Oren Moverman,113,70000
3969,Thesis,1996,7.5,"Horror, Misterio, Suspenso",31898,Alejandro Amenábar,125,NA
3970,Big Fat Liar,2002,5.4,"Aventura, Comedia, Familiar",31885,Shawn Levy,88,47810000
3971,Adam,2009,7.2,"Comedia, Drama, Romántica",31882,Max Mayer,99,2280000
3972,The Time Machine,1960,7.6,"Aventura, Romántica, Ciencia Ficción",31856,George Pal,103,NA
3973,Sultan,2016,7.1,"Acción, Drama, Deportes",31838,Ali Abbas Zafar,170,6200000
3974,The Secret of NIMH,1982,7.6,"Animación, Aventura, Drama",31821,Don Bluth,82,10140000
3975,Bully,2001,7,"Biografía, Crimen, Drama",31815,Larry Clark,108,1540000
3976,The Class,2008,7.5,Drama,31806,Laurent Cantet,128,3770000
3977,Regression,2015,5.7,"Crimen, Horror, Misterio",31786,Alejandro Amenábar,106,50000
3978,Dnevnoy dozor,2006,6.5,"Acción, Fantasía, Horror",31750,Timur Bekmambetov,132,450000
3979,Jungle,2017,6.7,"Acción, Aventura, Biografía",31745,Greg McLean,115,NA
3980,Central Station,1998,8,Drama,31735,Walter Salles,113,5600000
3981,Private Parts,1997,6.8,"Biografía, Comedia, Drama",31724,Betty Thomas,109,41200000
3982,Jason Lives: Friday the 13th Part VI,1986,6,"Horror, Suspenso",31721,Tom McLoughlin,86,19470000
3983,Emma,1996,6.7,"Comedia, Drama, Romántica",31702,Douglas McGrath,120,22200000
3984,St. Elmo's Fire,1985,6.4,"Drama, Romántica",31690,Joel Schumacher,110,37800000
3985,Bandidas,2006,5.7,"Acción, Comedia, Crimen",31684,Joachim Rønning,93,NA
3986,The Salvation,2014,6.7,"Drama, Oeste",31655,Kristian Levring,92,10000
3987,Kill Your Darlings,2013,6.5,"Biografía, Drama, Romántica",31615,John Krokidas,104,1030000
3988,Evita,1996,6.3,"Biografía, Drama, Histórico",31614,Alan Parker,135,50050000
3989,Undercover Brother,2002,5.8,"Acción, Comedia",31557,Malcolm D. Lee,85,38230000
3990,Maniac,2012,6.1,"Horror, Suspenso",31551,Franck Khalfoun,89,20000
3991,The Amityville Horror,1979,6.2,Horror,31550,Stuart Rosenberg,117,86430000
3992,Kill List,2011,6.4,"Crimen, Drama, Horror",31533,Ben Wheatley,95,30000
3993,Nurse Betty,2000,6.2,"Comedia, Crimen, Drama",31506,Neil LaBute,110,25170000
3994,The Physician,2013,7.2,"Aventura, Drama, Histórico",31482,Philipp Stölzl,150,NA
3995,Left Behind,2014,3.1,"Acción, Drama, Fantasía",31476,Vic Armstrong,110,14000000
3996,The Human Centipede II (Full Sequence),2011,3.8,"Drama, Horror",31452,Tom Six,91,120000
3997,Thick as Thieves,2009,6,"Acción, Crimen, Suspenso",31435,Mimi Leder,104,NA
3998,The Green Inferno,2013,5.3,"Aventura, Horror, Suspenso",31405,Eli Roth,100,7190000
3999,Muriel's Wedding,1994,7.2,"Comedia, Drama",31405,P.J. Hogan,106,15190000
4000,Slap Shot,1977,7.4,"Comedia, Drama, Deportes",31340,George Roy Hill,123,28000000
4001,Gok-seong,2016,7.4,Horror,31311,Hong-jin Na,156,NA
4002,Admission,2013,5.7,"Comedia, Drama, Romántica",31296,Paul Weitz,107,18000000
4003,Fantasia 2000,1999,7.2,"Animación, Comedia, Familiar",31295,James Algar,75,60660000
4004,Passengers,2008,5.9,"Drama, Fantasía, Horror",31292,Rodrigo García,93,270000
4005,Shaun the Sheep Movie,2015,7.4,"Animación, Aventura, Comedia",31291,Mark Burton,85,19380000
4006,"I Love You, Beth Cooper",2009,5.3,"Comedia, Romántica",31276,Chris Columbus,102,14790000
4007,The New Guy,2002,5.9,Comedia,31276,Ed Decter,88,28970000
4008,All Dogs Go to Heaven,1989,6.7,"Animación, Comedia, Drama",31246,Don Bluth,84,27100000
4009,It Could Happen to You,1994,6.3,"Comedia, Drama, Romántica",31209,Andrew Bergman,101,37800000
4010,Red Tails,2012,5.9,"Acción, Aventura, Drama",31206,Anthony Hemingway,125,49880000
4011,Joe Versus the Volcano,1990,5.8,"Comedia, Romántica",31191,John Patrick Shanley,102,39400000
4012,Shattered Glass,2003,7.2,"Drama, Histórico",31174,Billy Ray,94,2220000
4013,Drumline,2002,5.7,"Comedia, Drama, Romántica",31160,Charles Stone III,118,56400000
4014,The Illusionist,2010,7.5,"Animación, Drama",31155,Sylvain Chomet,80,2230000
4015,Hair,1979,7.6,"Comedia, Drama, Musical",31140,Milos Forman,121,15280000
4016,The Killer Inside Me,2010,6.1,"Crimen, Drama, Suspenso",31136,Michael Winterbottom,109,210000
4017,The Verdict,1982,7.8,Drama,31123,Sidney Lumet,129,54000000
4018,Kokuhaku,2010,7.8,"Drama, Suspenso",31113,Tetsuya Nakashima,106,NA
4019,The Do-Over,2016,5.7,"Acción, Aventura, Comedia",31106,Steven Brill,108,NA
4020,Femme Fatale,2002,6.3,"Crimen, Drama, Misterio",31089,Brian De Palma,114,6590000
4021,The 33,2015,6.9,"Biografía, Drama, Histórico",31081,Patricia Riggen,127,12190000
4022,Kind Hearts and Coronets,1949,8.1,"Comedia, Crimen",31078,Robert Hamer,106,NA
4023,Love & Mercy,2014,7.4,"Biografía, Drama, Música",31074,Bill Pohlad,121,12550000
4024,Bananas,1971,7.1,Comedia,31068,Woody Allen,82,NA
4025,Hollywoodland,2006,6.5,"Biografía, Crimen, Drama",31060,Allen Coulter,126,14420000
4026,Would You Rather,2012,5.7,Horror,31055,David Guy Levy,93,NA
4027,Exorcist: The Beginning,2004,5.1,"Horror, Misterio, Suspenso",31025,Renny Harlin,114,41820000
4028,The Lawnmower Man,1992,5.4,"Horror, Ciencia Ficción",30985,Brett Leonard,108,32100000
4029,The Nines,2007,6.4,"Drama, Fantasía, Misterio",30934,John August,100,60000
4030,Cold in July,2014,6.8,"Crimen, Suspenso",30923,Jim Mickle,109,410000
4031,Prom Night,2008,3.9,"Horror, Misterio",30908,Nelson McCormick,88,43870000
4032,Keeping Mum,2005,6.8,"Comedia, Crimen",30908,Niall Johnson,99,1620000
4033,Velvet Goldmine,1998,7,"Drama, Música",30879,Todd Haynes,118,1050000
4034,No Way Out,1987,7.1,"Acción, Crimen, Drama",30797,Roger Donaldson,114,35510000
4035,Don,2006,7.2,"Acción, Crimen, Suspenso",30776,Farhan Akhtar,171,800000
4036,Drunken Master,1978,7.6,"Acción, Comedia",30745,Woo-Ping Yuen,111,NA
4037,Nim's Island,2008,6,"Aventura, Comedia, Familiar",30740,Jennifer Flackett,96,48010000
4038,"The Cook, the Thief, His Wife & Her Lover",1989,7.6,"Crimen, Drama",30723,Peter Greenaway,124,7720000
4039,Bug,2006,6.1,"Drama, Horror, Suspenso",30723,William Friedkin,102,7010000
4040,We Are Your Friends,2015,6.2,"Drama, Música, Romántica",30677,Max Joseph,96,3590000
4041,Now Is Good,2012,7.2,"Drama, Romántica",30672,Ol Parker,103,NA
4042,Black Sea,2014,6.4,"Aventura, Drama, Suspenso",30652,Kevin Macdonald,114,1170000
4043,The Quiet Man,1952,7.8,"Comedia, Drama, Romántica",30651,John Ford,129,10550000
4044,Smoke,1995,7.4,"Comedia, Drama",30637,Wayne Wang,112,8350000
4045,Prince of Darkness,1987,6.7,Horror,30627,John Carpenter,102,14180000
4046,Captain Corelli's Mandolin,2001,5.9,"Drama, Música, Romántica",30593,John Madden,131,25540000
4047,Death Wish,1974,7,"Acción, Crimen, Drama",30591,Michael Winner,93,22000000
4048,Brief Encounter,1945,8.1,"Drama, Romántica",30591,David Lean,86,NA
4049,Spice World,1997,3.4,"Comedia, Familiar, Música",30570,Bob Spiers,93,29340000
4050,Igby Goes Down,2002,7,"Comedia, Drama",30566,Burr Steers,98,4680000
4051,Mandariinid,2013,8.2,"Drama, Guerra",30562,Zaza Urushadze,87,140000
4052,Find Me Guilty,2006,7.1,"Biografía, Comedia, Crimen",30539,Sidney Lumet,125,1170000
4053,Caligula,1979,5.3,"Drama, Histórico",30527,Tinto Brass,156,23440000
4054,Happy New Year,2014,5.2,"Acción, Comedia, Musical",30524,Farah Khan,180,NA
4055,102 Dalmatians,2000,4.9,"Aventura, Comedia, Familiar",30516,Kevin Lima,100,66959999.99999999
4056,The Unbearable Lightness of Being,1988,7.4,"Drama, Romántica",30507,Philip Kaufman,171,10010000
4057,So I Married an Axe Murderer,1993,6.4,"Comedia, Romántica",30504,Thomas Schlamme,93,11590000
4058,Heist,2001,6.5,"Acción, Crimen, Drama",30498,David Mamet,109,50000
4059,Alex Cross,2012,5.1,"Acción, Crimen, Misterio",30493,Rob Cohen,101,25890000
4060,The Shipping News,2001,6.8,Drama,30478,Lasse Hallström,111,11430000
4061,The Stanford Prison Experiment,2015,6.9,"Biografía, Drama, Histórico",30475,Kyle Patrick Alvarez,122,640000
4062,The Four Feathers,2002,6.5,"Aventura, Drama, Romántica",30473,Shekhar Kapur,132,18310000
4063,Ninja Scroll,1993,7.9,"Animación, Acción, Aventura",30447,Yoshiaki Kawajiri,94,NA
4064,Dalkomhan insaeng,2005,7.6,"Acción, Drama",30428,Jee-woon Kim,120,NA
4065,The Innkeepers,2011,5.5,"Drama, Horror, Misterio",30424,Ti West,101,80000
4066,Pusher,1996,7.4,"Crimen, Suspenso",30380,Nicolas Winding Refn,110,0
4067,Child's Play 3,1991,5,"Horror, Suspenso",30379,Jack Bender,90,14960000
4068,McFarland,2015,7.4,"Biografía, Drama, Deportes",30365,Niki Caro,129,44470000
4069,The Cooler,2003,7,"Drama, Romántica",30360,Wayne Kramer,101,8240000
4070,The Haunting,1963,7.6,Horror,30357,Robert Wise,112,2620000
4071,1922,2017,6.3,"Crimen, Drama, Horror",30334,Zak Hilditch,102,NA
4072,Father of the Bride Part II,1995,6,"Comedia, Familiar, Romántica",30298,Charles Shyer,106,76590000
4073,Giant,1956,7.7,"Drama, Oeste",30281,George Stevens,201,35000000
4074,Hang 'Em High,1968,7,Oeste,30266,Ted Post,114,NA
4075,Rubber,2010,5.8,"Comedia, Fantasía, Horror",30262,Quentin Dupieux,82,100000
4076,La Grande Illusion,1937,8.1,"Drama, Guerra",30234,Jean Renoir,113,170000
4077,The Missing,2003,6.5,"Aventura, Suspenso, Oeste",30210,Ron Howard,137,26900000
4078,Flatliners,2017,5.2,"Drama, Horror, Misterio",30208,Niels Arden Oplev,109,16870000
4079,Annie,2014,5.3,"Comedia, Drama, Familiar",30204,Will Gluck,118,85910000
4080,Oliver!,1968,7.5,"Drama, Familiar, Musical",30199,Carol Reed,153,16800000
4081,Bitter Moon,1992,7.2,"Drama, Romántica, Suspenso",30188,Roman Polanski,139,1860000
4082,Fighting,2009,5.6,"Acción, Drama, Deportes",30185,Dito Montiel,105,23040000
4083,The Marine,2006,4.7,"Acción, Drama, Suspenso",30156,John Bonito,92,18840000
4084,Before I Wake,2016,6.2,"Drama, Fantasía, Horror",30139,Mike Flanagan,97,NA
4085,Choke,2008,6.5,"Comedia, Drama",30119,Clark Gregg,92,2930000
4086,May,2002,6.7,"Drama, Horror",30116,Lucky McKee,93,150000
4087,Shutter,2008,5.2,"Horror, Misterio, Suspenso",30092,Masayuki Ochiai,85,25930000
4088,Splinter,2008,6.1,"Horror, Ciencia Ficción, Suspenso",30074,Toby Wilkins,82,NA
4089,The Mirror,1975,8.1,"Biografía, Drama",30069,Andrei Tarkovsky,107,NA
4090,Get Carter,2000,5.1,"Acción, Crimen, Drama",30054,Stephen Kay,102,14970000
4091,Sweet and Lowdown,1999,7.3,"Comedia, Drama, Música",30051,Woody Allen,95,4200000
4092,Straw Dogs,2011,5.8,"Acción, Drama, Suspenso",30046,Rod Lurie,110,10320000
4093,Che: Part Two,2008,6.9,"Biografía, Drama, Histórico",30032,Steven Soderbergh,135,NA
4094,Welcome to the Punch,2013,6.1,"Acción, Crimen, Suspenso",30015,Eran Creevy,99,10000
4095,Agent Cody Banks,2003,5.1,"Acción, Aventura, Comedia",29994,Harald Zwart,102,47810000
4096,Sherlock Jr.,1924,8.2,"Acción, Comedia, Romántica",29985,Buster Keaton,45,980000
4097,Black,2005,8.2,Drama,29985,Sanjay Leela Bhansali,122,730000
4098,The One I Love,2014,7.1,"Drama, Fantasía, Romántica",29978,Charlie McDowell,91,510000
4099,Bedknobs and Broomsticks,1971,7.1,"Animación, Aventura, Comedia",29975,Robert Stevenson,117,18530000
4100,The Phantom,1996,4.9,"Acción, Aventura, Comedia",29961,Simon Wincer,100,17300000
4101,Shortbus,2006,6.5,"Drama, Romántica",29934,John Cameron Mitchell,101,1990000
4102,Throw Momma from the Train,1987,6.2,"Comedia, Crimen, Suspenso",29924,Danny DeVito,88,57920000
4103,"Mujeres al borde de un ataque de ""nervios""",1988,7.6,"Comedia, Drama",29922,Pedro Almodóvar,88,7180000
4104,Fools Rush In,1997,6,"Comedia, Drama, Romántica",29916,Andy Tennant,109,29290000
4105,Dear Zindagi,2016,7.7,"Drama, Romántica",29914,Gauri Shinde,151,1400000
4106,The Woodsman,2004,7.2,Drama,29908,Nicole Kassell,87,40000
4107,Chaos Theory,2008,6.7,"Comedia, Drama, Romántica",29906,Marcos Siega,87,240000
4108,Man of the Year,2006,6.2,"Comedia, Drama, Romántica",29902,Barry Levinson,115,37440000
4109,Joheunnom nabbeunnom isanghannom,2008,7.3,"Acción, Aventura, Oeste",29888,Jee-woon Kim,139,130000
4110,Deep Rising,1998,6,"Acción, Aventura, Horror",29869,Stephen Sommers,106,11200000
4111,Flypaper,2011,6.4,"Comedia, Crimen, Misterio",29856,Rob Minkoff,87,0
4112,Mudbound,2017,7.4,"Drama, Guerra",29855,Dee Rees,134,NA
4113,[Rec]³: Génesis,2012,5,"Horror, Suspenso",29829,Paco Plaza,80,10000
4114,54,1998,5.8,"Drama, Música",29821,Mark Christopher,93,16570000
4115,The Seven Year Itch,1955,7.2,"Comedia, Romántica",29818,Billy Wilder,105,12000000
4116,Stranger Than Paradise,1984,7.6,"Comedia, Drama",29772,Jim Jarmusch,89,2440000
4117,La montaña sagrada,1973,7.9,"Aventura, Drama, Fantasía",29767,Alejandro Jodorowsky,114,60000
4118,Extinction,2018,5.8,"Acción, Drama, Ciencia Ficción",29757,Ben Young,95,NA
4119,Instinct,1999,6.6,"Drama, Suspenso",29757,Jon Turteltaub,126,34100000
4120,Dracula 2001,2000,4.9,"Acción, Fantasía, Horror",29755,Patrick Lussier,99,33020000.000000004
4121,Little Big Man,1970,7.6,"Aventura, Comedia, Drama",29749,Arthur Penn,139,31560000
4122,Antwone Fisher,2002,7.3,"Biografía, Drama",29749,Denzel Washington,120,21080000
4123,In the Land of Women,2007,6.5,"Comedia, Drama, Romántica",29737,Jonathan Kasdan,97,11040000
4124,A.R.O.G,2008,7.3,"Comedia, Fantasía, Ciencia Ficción",29733,Ali Taner Baltaci,127,NA
4125,Grease 2,1982,4.3,"Comedia, Drama, Musical",29726,Patricia Birch,115,15170000
4126,Peggy Sue Got Married,1986,6.3,"Comedia, Drama, Fantasía",29726,Francis Ford Coppola,103,41380000
4127,Exit Wounds,2001,5.5,"Acción, Comedia, Crimen",29720,Andrzej Bartkowiak,101,51760000
4128,Il Postino: The Postman,1994,7.7,"Biografía, Comedia, Drama",29719,Michael Radford,108,21850000
4129,Pink,2016,8.2,Drama,29711,Aniruddha Roy Chowdhury,136,NA
4130,C.R.A.Z.Y.,2005,8,"Comedia, Drama",29705,Jean-Marc Vallée,127,NA
4131,Dungeons & Dragons,2000,3.7,"Acción, Aventura, Fantasía",29694,Courtney Solomon,107,15220000
4132,The Way of the Gun,2000,6.7,"Acción, Crimen, Drama",29680,Christopher McQuarrie,119,6060000
4133,24 Hour Party People,2002,7.4,"Biografía, Comedia, Drama",29672,Michael Winterbottom,117,1130000
4134,Hard Rain,1998,5.8,"Acción, Crimen, Drama",29669,Mikael Salomon,97,19820000
4135,Frequently Asked Questions About Time Travel,2009,7.1,"Comedia, Ciencia Ficción",29668,Gareth Carrivick,83,NA
4136,The Cannonball Run,1981,6.2,"Acción, Comedia, Deportes",29663,Hal Needham,95,72180000
4137,The Witches,1990,6.8,"Aventura, Comedia, Familiar",29656,Nicolas Roeg,91,10360000
4138,Paul Blart: Mall Cop 2,2015,4.4,"Acción, Comedia, Crimen",29656,Andy Fickman,94,71040000
4139,This Must Be the Place,2011,6.7,"Comedia, Drama",29654,Paolo Sorrentino,118,140000
4140,La cara oculta,2011,7.4,"Comedia, Drama, Misterio",29601,Andrés Baiz,97,NA
4141,When We First Met,2018,6.4,"Comedia, Fantasía, Romántica",29598,Ari Sandel,97,NA
4142,Step Up All In,2014,6,"Drama, Música, Romántica",29587,Trish Sie,112,14900000
4143,The House,2017,5.6,"Comedia, Crimen",29577,Andrew Jay Cohen,88,25480000
4144,Where the Heart Is,2000,6.8,"Comedia, Drama, Romántica",29574,Matt Williams,120,33770000
4145,6 Souls,2010,6.1,"Horror, Misterio, Suspenso",29572,Måns Mårlind,112,NA
4146,Forces of Nature,1999,5.4,"Comedia, Romántica",29544,Bronwen Hughes,105,52890000
4147,Doc Hollywood,1991,6.2,"Comedia, Drama, Romántica",29527,Michael Caton-Jones,104,54830000
4148,The Andromeda Strain,1971,7.2,"Ciencia Ficción, Suspenso",29527,Robert Wise,131,NA
4149,Repo Man,1984,6.9,"Comedia, Crimen, Ciencia Ficción",29494,Alex Cox,92,3570000
4150,Leatherheads,2008,6,"Comedia, Drama, Romántica",29492,George Clooney,114,31200000
4151,If Only,2004,7.2,"Comedia, Drama, Fantasía",29485,Gil Junger,92,NA
4152,Mesrine Part 1: Killer Instinct,2008,7.6,"Acción, Biografía, Crimen",29475,Jean-François Richet,113,550000
4153,The Sweet Hereafter,1997,7.6,Drama,29449,Atom Egoyan,112,3250000
4154,Astro Boy,2009,6.3,"Animación, Acción, Comedia",29440,David Bowers,94,19550000
4155,The Lost Weekend,1945,8,"Drama, Cine negro",29436,Billy Wilder,101,9460000
4156,Tideland,2005,6.5,"Drama, Fantasía, Horror",29421,Terry Gilliam,120,70000
4157,Drop Dead Gorgeous,1999,6.6,"Comedia, Romántica, Suspenso",29409,Michael Patrick Jann,97,10560000
4158,Arthur et les Minimoys,2006,6,"Animación, Aventura, Familiar",29397,Luc Besson,94,15130000
4159,20th Century Women,2016,7.3,"Comedia, Drama",29381,Mike Mills,119,5660000
4160,Melinda and Melinda,2004,6.5,"Comedia, Drama, Romántica",29364,Woody Allen,99,3830000
4161,Twilight Zone: The Movie,1983,6.5,"Horror, Ciencia Ficción",29342,Joe Dante,101,29500000
4162,Welcome to the Dollhouse,1995,7.4,"Comedia, Drama",29339,Todd Solondz,88,4770000
4163,L'immortel,2010,6.7,"Acción, Crimen, Suspenso",29338,Richard Berry,117,NA
4164,Race,2016,7.1,"Biografía, Drama, Deportes",29337,Stephen Hopkins,134,19100000
4165,Angel-A,2005,7.1,"Comedia, Drama, Fantasía",29324,Luc Besson,91,200000
4166,Picnic at Hanging Rock,1975,7.6,"Drama, Misterio",29309,Peter Weir,115,230000
4167,The Red Violin,1998,7.7,"Drama, Música, Misterio",29262,François Girard,130,9470000
4168,Curse of Chucky,2013,5.7,"Horror, Suspenso",29261,Don Mancini,97,NA
4169,Jersey Boys,2014,6.8,"Biografía, Drama, Música",29261,Clint Eastwood,134,47030000
4170,Five Easy Pieces,1970,7.5,Drama,29261,Bob Rafelson,98,NA
4171,The Trouble with Harry,1955,7.1,"Comedia, Misterio",29209,Alfred Hitchcock,99,NA
4172,The Commitments,1991,7.6,"Comedia, Drama, Música",29206,Alan Parker,118,14920000
4173,Watership Down,1978,7.7,"Animación, Aventura, Drama",29189,Martin Rosen,91,NA
4174,The Rookie,2002,7,"Drama, Familiar, Deportes",29183,John Lee Hancock,127,75600000
4175,Dressed to Kill,1980,7.1,"Misterio, Suspenso",29179,Brian De Palma,104,31900000
4176,The Edukators,2004,7.5,"Drama, Romántica",29164,Hans Weingartner,127,180000
4177,Police Academy 5: Assignment: Miami Beach,1988,4.4,"Comedia, Crimen",29151,Alan Myerson,90,4240000
4178,Coriolanus,2011,6.1,"Drama, Suspenso, Guerra",29148,Ralph Fiennes,123,760000
4179,Son of Rambow,2007,7,"Acción, Aventura, Comedia",29127,Garth Jennings,96,1780000
4180,Beautiful Girls,1996,7.2,"Comedia, Drama, Romántica",29123,Ted Demme,112,10600000
4181,Halloween 5,1989,5.2,"Horror, Suspenso",29121,Dominique Othenin-Girard,96,11640000
4182,The Skulls,2000,5.6,"Acción, Crimen, Drama",29118,Rob Cohen,106,35010000
4183,To the Bone,2017,6.9,Drama,29111,Marti Noxon,107,NA
4184,The Big Chill,1983,7.2,"Comedia, Drama",29105,Lawrence Kasdan,105,56200000
4185,Mustang,2015,7.6,Drama,29094,Deniz Gamze Ergüven,97,850000
4186,Near Dark,1987,7,"Acción, Crimen, Drama",29070,Kathryn Bigelow,94,3370000
4187,The Final Cut,2004,6.2,"Drama, Ciencia Ficción, Suspenso",29053,Omar Naim,95,550000
4188,Spoorloos,1988,7.8,"Misterio, Suspenso",29048,George Sluizer,107,NA
4189,The Company You Keep,2012,6.4,"Drama, Suspenso",29043,Robert Redford,125,5130000
4190,Goal II: Living the Dream,2007,5.9,"Drama, Deportes",29036,Jaume Collet-Serra,115,NA
4191,Sudden Death,1995,5.7,"Acción, Crimen, Suspenso",29034,Peter Hyams,111,20350000
4192,Housebound,2014,6.8,"Comedia, Horror, Misterio",29027,Gerard Johnstone,107,NA
4193,American Honey,2016,7,"Aventura, Drama, Romántica",29026,Andrea Arnold,163,660000
4194,One Missed Call,2008,4,"Horror, Misterio",29017,Eric Valette,87,26880000
4195,Pathology,2008,6,"Crimen, Horror, Suspenso",29006,Marc Schölermann,95,110000
4196,English Vinglish,2012,7.9,"Comedia, Drama, Familiar",29002,Gauri Shinde,134,1670000
4197,Looney Tunes: Back in Action,2003,5.7,"Animación, Aventura, Comedia",28996,Joe Dante,91,20990000
4198,The Whistleblower,2010,7.2,"Acción, Biografía, Crimen",28952,Larysa Kondracki,112,1120000
4199,Bastille Day,2016,6.3,"Acción, Crimen, Drama",28926,James Watkins,92,40000
4200,Ookami kodomo no Ame to Yuki,2012,8.2,"Animación, Drama, Familiar",28923,Mamoru Hosoda,117,NA
4201,City Island,2009,7.4,"Comedia, Drama",28918,Raymond De Felitta,104,6670000
4202,Sin Nombre,2009,7.6,"Aventura, Crimen, Drama",28908,Cary Joji Fukunaga,96,2530000
4203,The Arrival,1996,6.3,"Ciencia Ficción, Suspenso",28904,David Twohy,115,14050000
4204,A.W.O.L.: Absent Without Leave,1990,6.2,"Acción, Crimen, Drama",28891,Sheldon Lettich,108,24080000
4205,"Tomorrow, When the War Began",2010,6.2,"Acción, Aventura, Drama",28876,Stuart Beattie,103,NA
4206,Stronger,2017,7,"Biografía, Drama",28875,David Gordon Green,119,4210000
4207,Yip Man chin chyun,2010,7.1,"Acción, Biografía, Drama",28868,Herman Yau,100,NA
4208,P2,2007,5.9,"Crimen, Horror, Suspenso",28867,Franck Khalfoun,98,3990000
4209,The Last House on the Left,1972,6,"Horror, Suspenso",28840,Wes Craven,84,3100000
4210,In a World...,2013,6.7,Comedia,28833,Lake Bell,93,2960000
4211,Hedwig and the Angry Inch,2001,7.8,"Comedia, Drama, Música",28829,John Cameron Mitchell,95,3030000
4212,Murder by Death,1976,7.4,"Comedia, Misterio, Suspenso",28824,Robert Moore,94,NA
4213,Blues Brothers 2000,1998,4.8,"Acción, Comedia, Crimen",28801,John Landis,123,13980000
4214,Nefes: Vatan Sagolsun,2009,8.2,"Acción, Drama, Suspenso",28797,Levent Semerci,128,NA
4215,For Love of the Game,1999,6.6,"Drama, Romántica, Deportes",28785,Sam Raimi,137,35170000
4216,Naked,1993,7.9,"Comedia, Drama",28784,Mike Leigh,132,1770000
4217,Osmosis Jones,2001,6.3,"Animación, Acción, Aventura",28776,Bobby Farrelly,95,13600000
4218,Mean Creek,2004,7.3,"Crimen, Drama",28776,Jacob Estes,90,600000
4219,The Final Girls,2015,6.6,"Comedia, Horror",28773,Todd Strauss-Schulson,88,NA
4220,Waar,2013,8.2,"Acción, Crimen, Suspenso",28765,Bilal Lashari,130,NA
4221,The Wackness,2008,7,"Comedia, Drama, Romántica",28753,Jonathan Levine,99,2080000
4222,Efter brylluppet,2006,7.8,Drama,28750,Susanne Bier,120,410000
4223,Blood and Bone,2009,6.7,"Acción, Drama",28749,Ben Ramsey,93,NA
4224,Adoration,2013,6.2,"Drama, Romántica",28736,Anne Fontaine,112,320000
4225,I Feel Pretty,2018,5.3,Comedia,28731,Abby Kohn,110,48800000
