RANKING,titulo,ANIO,puntaje,genero,Cantidad de votos,direccion,duracion,GANANCIAS EN DOLARES
3122,Kinsey,2004,7.1,"Biografía, Drama, Romántica",45308,Bill Condon,118,10210000
3123,Overboard,1987,6.8,"Comedia, Romántica",45267,Garry Marshall,106,26710000
3124,Victor Frankenstein,2015,6,"Drama, Horror, Ciencia Ficción",45259,Paul McGuigan,110,5780000
3125,Bulletproof Monk,2003,5.5,"Acción, Comedia, Fantasía",45255,Paul Hunter,104,23020000
3126,The Sentinel,2006,6.1,"Acción, Crimen, Suspenso",45232,Clark Johnson,108,36280000
3127,The Producers,1967,7.7,"Comedia, Música",45201,Mel Brooks,88,110000
3128,Ice Age: Collision Course,2016,5.7,"Animación, Aventura, Comedia",45112,Mike Thurmeier,94,64060000
3129,The Last Exorcism,2010,5.6,"Drama, Horror, Suspenso",45079,Daniel Stamm,87,41030000
3130,Ne le dis à personne,2006,7.5,"Crimen, Drama, Misterio",45071,Guillaume Canet,131,6180000
3131,Lolita,1997,6.9,"Drama, Romántica",45062,Adrian Lyne,137,1400000
3132,The Last Temptation of Christ,1988,7.6,Drama,45059,Martin Scorsese,164,7630000
3133,The Loft,2014,6.3,"Misterio, Romántica, Suspenso",45057,Erik Van Looy,108,5980000
3134,Don 2,2011,7.1,"Acción, Crimen, Suspenso",45037,Farhan Akhtar,148,3680000
3135,Pride,2014,7.8,"Biografía, Comedia, Drama",45031,Matthew Warchus,119,NA
3136,The Jewel of the Nile,1985,6.1,"Acción, Aventura, Comedia",45008,Lewis Teague,106,75970000
3137,"Aguirre, Wrath of God",1972,8,"Aventura, Biografía, Drama",44994,Werner Herzog,95,NA
3138,The Back-up Plan,2010,5.3,"Comedia, Romántica",44990,Alan Poul,104,37490000
3139,Everything Must Go,2010,6.4,"Comedia, Drama",44987,Dan Rush,97,2710000
3140,Grave,2016,7,"Drama, Horror",44971,Julia Ducournau,99,510000
3141,Lakeview Terrace,2008,6.1,"Crimen, Drama, Suspenso",44956,Neil LaBute,110,39260000
3142,Martha Marcy May Marlene,2011,6.9,"Drama, Misterio, Suspenso",44947,Sean Durkin,102,2980000
3143,Jason X,2001,4.4,"Acción, Horror, Ciencia Ficción",44926,James Isaac,91,13120000
3144,Don Juan DeMarco,1994,6.7,"Comedia, Drama, Romántica",44900,Jeremy Leven,97,22150000
3145,American Splendor,2003,7.5,"Biografía, Comedia, Drama",44894,Shari Springer Berman,101,6000000
3146,Dead Man's Shoes,2004,7.7,"Crimen, Drama, Suspenso",44877,Shane Meadows,90,10000
3147,Cannibal Holocaust,1980,5.9,"Aventura, Horror",44875,Ruggero Deodato,95,NA
3148,Alive,1993,7.1,"Aventura, Biografía, Drama",44860,Frank Marshall,120,36730000
3149,Deuce Bigalow: European Gigolo,2005,4.6,Comedia,44841,Mike Bigelow,83,22260000
3150,Absolute Power,1997,6.7,"Acción, Crimen, Drama",44837,Clint Eastwood,121,50010000
3151,Littleman,2006,4.3,"Comedia, Crimen",44833,Keenen Ivory Wayans,98,58650000
3152,Don't Say a Word,2001,6.3,"Drama, Misterio, Suspenso",44785,Gary Fleder,113,55000000
3153,Sholay,1975,8.2,"Acción, Aventura, Comedia",44737,Ramesh Sippy,198,NA
3154,Westworld,1973,7,"Acción, Ciencia Ficción, Suspenso",44717,Michael Crichton,88,NA
3155,White Noise,2005,5.5,"Drama, Horror, Misterio",44698,Geoffrey Sax,101,56390000
3156,Lions for Lambs,2007,6.2,"Drama, Suspenso, Guerra",44666,Robert Redford,92,15000000
3157,Wild Card,2015,5.6,"Acción, Crimen, Drama",44620,Simon West,92,NA
3158,New Nightmare,1994,6.5,"Fantasía, Horror, Misterio",44605,Wes Craven,112,18090000
3159,Whiskey Tango Foxtrot,2016,6.6,"Biografía, Comedia, Drama",44605,Glenn Ficarra,112,23050000
3160,Nine Queens,2000,7.9,"Crimen, Drama, Suspenso",44602,Fabián Bielinsky,114,1220000
3161,Rabbit Hole,2010,7,Drama,44587,John Cameron Mitchell,91,2230000
3162,The Benchwarmers,2006,5.6,"Comedia, Deportes",44586,Dennis Dugan,80,57650000
3163,Duplicity,2009,6.2,"Comedia, Crimen, Romántica",44566,Tony Gilroy,125,40570000
3164,Dave,1993,6.8,"Comedia, Romántica",44562,Ivan Reitman,110,63270000
3165,Invasion of the Body Snatchers,1978,7.4,"Horror, Ciencia Ficción",44542,Philip Kaufman,115,24950000
3166,'71,2014,7.2,"Acción, Drama, Suspenso",44532,Yann Demange,99,1270000
3167,The Ritual,2017,6.3,"Horror, Misterio, Suspenso",44516,David Bruckner,94,NA
